0,1,2,3,4,5
23,6,5,9,2,79
21,20,6,7,2,99
2,17,14,7,9,48
15,12,7,2,1,60
18,10,4,10,7,93
16,11,18,3,6,71
13,12,10,13,5,83
11,1,12,11,7,92
3,18,4,15,10,96
1,7,5,4,13,43
23,5,5,1,2,30
13,2,13,13,6,17
25,17,17,8,4,55
25,7,13,13,8,82
3,20,20,9,3,32
13,3,8,2,8,82
13,15,3,13,4,28
21,16,16,3,18,20
24,12,18,6,1,65
9,5,4,15,13,58
21,7,20,11,5,19
7,5,6,4,17,41
8,17,16,9,6,66
23,10,17,5,17,30
11,6,14,6,5,79
5,8,17,15,10,82
5,1,18,7,14,74
18,6,2,5,6,80
20,13,9,9,9,77
18,9,14,8,16,59
18,1,18,12,17,27
3,11,19,10,15,64
5,19,1,3,18,47
2,3,11,2,8,100
19,10,20,12,9,16
2,19,16,11,5,24
24,4,6,7,20,80
5,9,18,3,3,56
19,5,10,9,18,17
20,16,18,2,20,18
24,13,16,6,16,92
24,4,15,14,3,74
4,4,14,13,6,97
15,6,13,4,17,90
12,6,18,9,19,9
2,7,13,4,2,48
1,12,4,10,16,78
6,11,1,14,15,59
2,15,4,4,15,20
16,12,18,5,5,76
3,8,15,10,7,88
20,9,20,8,5,47
2,15,9,12,11,75
17,14,9,11,10,36
17,15,7,6,9,23
2,3,11,3,9,9
10,15,9,6,4,13
14,10,8,7,9,90
7,5,3,12,17,52
12,1,18,5,1,18
23,9,12,5,11,81
20,13,15,13,13,79
15,12,20,9,10,88
3,3,13,3,17,9
16,13,9,9,20,42
21,17,10,15,8,1
5,7,13,11,14,97
16,13,8,1,12,18
8,11,12,12,5,68
8,11,13,6,14,72
24,6,8,4,10,7
11,6,13,3,9,66
9,9,10,14,1,73
8,1,4,14,12,88
17,4,10,4,17,3
22,10,1,1,13,42
12,8,8,4,7,28
24,3,16,3,6,29
21,10,9,11,13,92
10,16,16,5,11,72
9,17,13,9,14,66
13,5,5,12,8,4
19,8,6,11,18,63
14,20,4,14,17,28
6,1,4,8,7,26
19,16,15,13,16,48
15,18,13,15,19,32
10,7,12,10,15,49
24,18,8,2,14,4
9,9,16,9,11,83
25,16,10,11,5,5
8,20,15,7,19,65
16,13,12,12,4,38
5,9,15,14,5,40
14,8,20,9,19,90
13,15,17,2,5,2
2,14,1,3,8,71
7,13,15,5,1,50
2,5,18,4,20,94
23,18,13,13,3,11
19,11,5,1,7,89
19,20,15,6,7,82
13,11,6,2,5,46
18,17,2,12,15,61
5,4,10,12,1,92
18,20,14,4,7,53
3,7,4,4,7,83
5,1,13,10,9,57
12,6,13,3,12,59
8,11,3,9,14,43
2,16,14,1,15,12
5,14,18,3,7,76
20,13,8,12,4,76
14,20,1,8,17,64
2,6,6,9,4,80
8,5,7,14,12,53
15,11,6,5,14,44
17,18,16,15,7,11
10,12,10,13,9,86
3,17,11,14,7,86
15,20,3,11,10,74
14,11,5,6,10,10
20,9,19,7,3,5
13,4,16,7,18,57
25,16,13,2,11,20
18,5,11,15,17,20
10,10,10,14,1,72
5,7,20,9,8,34
15,12,9,1,14,67
19,5,14,6,6,4
5,5,20,7,6,16
6,1,18,6,11,18
4,11,16,8,1,63
21,15,15,14,17,100
7,15,16,5,6,81
5,7,18,1,19,43
2,9,15,4,1,6
13,4,8,8,18,8
17,5,14,3,1,11
19,2,5,4,9,22
2,10,9,9,11,67
3,19,7,10,4,20
25,18,15,4,15,73
13,18,9,6,16,49
1,4,3,8,8,31
9,4,12,9,9,62
15,8,12,14,2,55
13,13,12,4,11,98
3,8,16,7,11,23
5,3,6,12,20,45
14,11,20,1,9,100
19,6,8,1,9,89
10,3,14,4,3,4
21,16,4,8,17,66
20,6,8,3,10,60
4,3,10,14,20,10
8,11,15,2,1,35
23,17,9,6,17,12
11,15,7,6,7,3
16,14,20,11,6,69
20,6,4,1,14,55
15,14,5,2,12,17
1,19,14,15,11,30
23,7,4,9,17,63
18,5,16,9,20,93
10,6,10,3,13,24
24,17,9,9,8,40
10,6,11,5,20,41
17,9,7,7,4,96
14,1,12,6,9,23
20,10,20,15,14,32
25,13,8,15,8,68
19,19,13,4,16,84
12,2,12,15,15,95
25,11,7,13,1,47
15,8,17,14,4,50
20,15,2,15,14,41
17,4,20,4,5,35
7,6,8,15,5,2
9,12,12,15,9,5
6,1,4,4,19,27
9,1,13,2,10,6
23,18,1,4,6,25
5,9,10,7,3,67
25,3,18,12,9,58
6,1,18,4,10,89
12,8,9,4,11,50
21,15,7,11,10,44
3,19,12,9,7,66
25,17,20,14,18,8
12,15,8,11,15,9
4,1,8,7,11,19
21,18,5,14,5,55
12,17,13,15,3,40
25,14,16,1,3,25
3,1,19,8,16,33
16,20,5,9,3,15
7,16,4,3,14,8
2,16,17,15,20,19
16,2,12,13,2,94
24,2,6,12,9,94
6,4,5,10,19,87
1,12,14,4,10,68
6,1,15,9,17,74
22,4,7,14,18,89
9,16,10,5,12,90
15,4,5,9,8,44
7,10,15,1,3,76
18,16,17,2,4,85
22,3,9,4,1,78
9,4,14,15,5,85
9,19,1,5,17,88
13,14,18,15,16,52
25,5,19,8,8,35
5,4,17,10,19,29
2,2,12,15,6,49
22,11,7,2,1,36
6,5,1,15,4,56
19,11,20,9,5,87
8,16,2,11,15,81
24,4,14,8,13,32
1,11,2,4,9,14
19,15,19,9,9,94
19,7,16,5,16,73
16,10,8,10,13,3
10,11,6,3,5,50
24,15,13,13,4,21
1,19,15,11,3,36
25,13,14,2,15,1
9,2,11,2,11,3
1,12,5,13,15,82
22,20,16,14,19,71
22,12,10,1,2,24
1,18,8,5,10,62
22,13,16,7,16,46
16,1,18,3,3,24
14,7,15,11,2,86
9,18,17,15,1,70
23,6,20,2,17,1
16,9,5,1,2,81
1,10,1,15,2,56
15,7,2,15,7,75
10,2,13,3,6,53
19,5,10,3,12,99
23,12,19,8,19,20
8,11,1,10,1,74
20,5,20,8,16,99
23,12,20,7,16,26
21,10,10,10,2,53
10,7,16,3,4,94
10,13,5,10,2,37
14,19,13,8,8,1
18,12,12,5,8,60
22,8,9,1,10,2
1,9,8,6,7,91
17,16,3,8,5,17
24,20,7,3,15,74
18,7,18,2,11,45
21,12,5,6,15,34
17,2,14,5,4,92
17,20,7,7,12,44
20,12,3,11,17,57
16,1,16,8,17,98
15,4,10,11,19,96
11,8,17,14,4,40
21,2,12,4,3,55
14,4,19,7,19,75
25,12,15,2,1,64
5,15,7,6,17,98
13,12,17,11,1,60
12,13,1,3,11,36
10,5,19,3,13,70
2,9,13,13,13,73
16,2,20,15,4,76
14,1,8,10,18,28
16,14,12,13,14,22
25,8,18,9,20,30
15,18,11,12,10,43
24,6,16,15,12,39
1,15,11,13,14,48
17,16,13,8,18,6
6,8,5,4,8,16
5,17,13,10,10,35
19,15,12,4,20,3
4,20,17,9,19,42
23,5,17,1,14,6
18,4,13,10,4,52
20,6,8,10,5,49
4,11,4,5,19,23
19,18,2,2,18,60
18,6,16,11,18,29
16,7,4,1,1,68
12,3,5,7,9,69
10,17,11,3,8,50
5,13,19,3,14,76
14,16,13,14,6,10
9,13,9,13,13,49
2,5,3,11,16,31
16,7,19,2,10,58
8,6,10,6,16,63
21,4,18,6,8,15
20,11,8,3,10,20
24,16,16,6,18,71
24,9,18,7,2,39
5,4,16,14,16,31
4,3,15,3,3,34
3,13,16,12,2,66
13,20,13,14,13,83
1,8,3,10,9,84
5,20,19,11,1,54
8,4,8,7,16,51
22,15,15,15,13,96
12,11,8,14,16,32
8,11,19,5,16,79
10,10,11,15,12,51
25,5,6,8,3,33
23,15,20,14,6,52
21,2,14,13,2,69
21,5,20,11,9,7
20,1,8,7,10,20
17,5,4,9,19,38
11,3,12,15,1,57
22,6,10,5,11,72
1,6,16,7,4,76
13,20,16,7,6,98
21,2,14,11,15,12
19,12,14,12,17,46
16,5,11,5,6,81
1,16,19,8,17,42
14,4,1,6,3,26
15,8,19,15,1,65
21,11,16,6,4,24
21,14,8,4,6,54
11,8,9,14,18,98
7,3,13,2,15,75
9,5,15,14,19,55
20,17,17,1,19,40
16,7,6,14,5,23
19,15,10,14,16,79
1,17,1,4,11,96
23,9,12,12,10,70
3,14,18,14,6,77
24,2,3,6,17,59
13,5,5,9,5,80
23,11,17,13,1,87
8,13,7,9,12,76
21,4,10,10,5,27
23,5,8,7,10,64
10,17,20,10,17,37
16,4,7,7,12,87
20,6,11,9,12,34
16,19,10,7,3,94
24,16,18,11,14,79
2,19,7,8,20,23
24,20,7,12,9,70
23,3,7,6,8,50
21,9,8,10,10,43
23,18,10,12,6,3
5,17,13,11,11,72
21,10,12,14,6,40
18,1,14,11,18,22
16,8,10,15,8,71
9,12,9,5,14,26
23,5,14,12,3,84
4,3,13,2,1,91
23,20,3,6,17,20
19,12,19,15,19,6
1,19,18,1,9,23
6,1,7,4,17,1
14,17,3,4,8,15
24,2,6,6,18,83
7,18,6,10,8,16
11,8,15,15,20,3
24,5,15,5,15,63
13,8,20,5,6,19
12,6,1,4,8,50
11,9,7,9,9,94
21,6,13,5,12,4
22,20,20,3,6,34
16,13,14,7,15,31
10,3,17,12,16,96
21,4,5,15,9,65
23,9,2,13,4,65
11,12,4,6,15,21
1,12,6,1,8,12
12,14,14,5,1,1
15,8,4,1,2,72
20,2,13,13,6,36
12,1,19,2,8,45
8,1,16,15,6,55
1,14,9,14,10,1
6,10,8,15,17,42
13,17,3,10,1,68
7,18,20,8,9,20
17,13,20,5,14,97
14,14,11,12,19,100
17,5,1,2,6,38
3,18,6,12,15,46
9,18,15,5,12,64
16,19,8,12,5,2
19,13,15,11,2,86
22,10,10,5,6,27
4,15,16,14,6,82
6,16,20,6,18,71
19,18,1,3,10,57
9,10,10,6,20,23
11,13,12,7,7,30
23,10,16,8,10,22
10,16,9,6,16,98
23,11,16,1,13,97
2,9,6,13,11,77
5,6,1,9,14,88
18,8,9,5,17,31
21,8,6,7,18,73
19,3,3,11,20,67
2,1,7,14,16,17
7,20,14,3,8,87
22,17,14,5,2,83
5,19,10,12,17,80
14,1,2,13,11,21
12,10,13,15,5,48
22,17,20,5,9,59
14,20,8,9,11,21
16,13,19,1,19,48
25,10,8,13,14,90
25,5,11,4,15,76
19,13,12,8,4,12
13,2,3,5,18,25
10,3,17,6,10,68
18,16,9,12,15,2
13,14,19,4,18,85
21,1,17,9,15,92
12,7,6,9,7,63
3,18,17,7,20,47
9,17,14,2,5,9
25,3,2,8,3,91
12,10,3,15,8,57
17,1,4,7,4,42
14,3,11,10,19,11
18,14,19,7,17,84
17,2,18,5,4,100
11,11,1,3,17,80
17,3,20,10,14,35
13,19,17,8,1,68
15,20,1,4,13,58
22,14,19,14,9,74
5,6,16,12,13,93
1,9,15,15,20,21
14,4,11,12,19,3
24,3,3,7,18,75
9,4,1,4,19,61
24,5,6,10,11,70
12,8,11,3,12,42
15,2,6,11,9,16
18,14,10,7,20,88
19,15,3,4,20,22
1,19,18,11,13,21
5,11,8,12,3,72
19,8,5,1,15,65
11,4,19,10,16,90
19,14,17,7,4,36
20,14,14,7,1,98
14,17,8,4,4,23
5,12,10,11,9,36
11,9,19,11,10,94
15,11,19,1,2,22
4,6,7,9,19,27
22,13,4,11,18,59
8,2,2,14,2,50
14,19,18,8,14,39
3,11,9,2,11,22
15,11,7,7,5,58
25,16,2,5,6,99
13,11,12,4,4,5
20,13,4,2,12,77
13,4,19,3,15,2
5,12,12,13,15,96
7,4,3,8,1,69
18,3,19,9,19,22
14,3,6,14,17,17
22,1,1,11,13,67
17,19,10,8,4,64
24,5,8,6,20,88
21,12,2,11,8,92
15,16,7,7,11,3
24,2,15,1,12,99
14,3,18,4,18,13
7,16,17,1,8,56
20,1,20,4,3,67
5,7,14,8,9,84
22,19,5,6,1,29
5,9,11,4,19,100
11,13,15,9,5,75
5,5,7,4,10,89
17,6,8,15,9,8
3,5,6,12,16,26
15,17,6,13,15,65
2,17,17,14,15,21
15,1,17,3,6,18
16,17,4,13,1,32
5,8,16,12,12,63
12,3,19,13,17,85
14,11,1,12,11,76
14,5,8,6,17,54
18,9,10,13,9,83
4,15,10,12,7,73
24,15,8,5,9,16
9,7,6,2,5,56
19,4,12,6,19,20
24,3,1,6,3,69
3,13,15,4,19,93
22,20,8,1,11,28
6,14,7,4,2,31
4,5,14,13,16,4
14,11,19,14,16,41
4,3,13,9,12,24
21,5,3,5,17,45
25,12,18,1,17,52
1,18,16,2,10,83
10,5,14,15,9,29
2,12,4,5,2,27
15,5,11,12,14,59
16,3,2,15,10,19
8,8,16,14,19,57
21,5,1,6,10,49
10,6,13,10,7,66
16,11,10,13,9,24
21,11,18,2,3,48
15,5,15,7,15,5
13,8,1,1,13,50
1,19,8,8,8,26
11,3,9,15,20,17
20,15,20,8,4,22
7,10,18,3,12,13
24,1,20,9,11,44
11,2,3,8,16,90
5,16,13,13,6,92
22,10,19,11,4,74
22,17,3,1,4,66
10,19,19,4,3,69
5,8,2,7,12,18
16,1,5,3,19,50
7,5,12,7,10,27
15,8,16,14,15,71
10,15,10,3,5,12
23,19,19,5,15,10
14,1,10,3,10,100
15,3,16,13,14,37
14,10,16,11,9,91
2,5,5,1,19,21
12,13,20,5,9,46
6,2,18,15,12,68
22,11,10,2,5,36
14,5,17,4,1,97
19,7,13,10,2,3
18,8,16,7,4,4
9,9,18,7,15,69
16,13,11,2,15,15
7,13,19,11,18,11
12,14,17,10,5,38
14,17,17,4,20,12
25,9,12,12,15,39
12,12,11,14,18,5
13,12,9,3,2,7
9,20,12,7,11,76
12,5,13,3,13,12
2,9,12,3,10,26
16,3,9,7,6,67
18,15,18,7,3,59
5,13,18,11,19,81
11,7,5,8,12,9
12,8,18,3,7,47
11,5,2,14,13,27
25,5,2,14,18,56
2,17,8,12,19,98
22,5,5,3,14,28
16,7,15,13,20,1
22,2,17,3,20,29
24,17,14,7,10,51
22,14,20,1,7,18
24,20,14,5,17,20
7,2,18,8,17,77
10,10,10,12,12,2
10,12,18,10,6,27
18,2,12,7,18,98
16,3,17,12,4,65
8,20,19,10,14,95
19,8,16,13,19,67
4,11,10,8,15,55
2,2,9,8,20,58
18,8,20,14,9,63
11,1,14,9,2,99
23,20,6,5,20,17
11,20,7,12,18,53
9,14,15,7,13,86
9,10,13,10,16,61
19,6,13,9,14,7
7,8,18,2,17,57
15,4,9,6,12,46
21,7,11,7,10,55
2,10,17,15,9,12
7,2,9,7,20,14
5,8,13,2,10,9
6,19,4,9,7,27
6,19,14,11,5,43
2,8,13,8,4,13
1,13,15,14,6,6
14,5,6,1,1,95
1,18,5,11,11,3
8,1,13,6,13,37
10,12,5,2,14,88
10,12,12,1,17,77
23,16,1,13,6,94
9,9,11,6,14,2
5,6,14,13,3,79
4,15,10,10,6,95
10,2,6,11,4,3
8,4,18,10,8,55
13,7,15,9,14,9
22,3,6,2,17,1
5,8,15,11,2,52
6,8,6,6,6,89
20,20,4,4,14,32
11,2,10,15,12,83
25,15,17,1,3,66
23,10,13,7,5,46
15,7,6,5,3,51
6,4,10,4,3,23
17,20,16,1,19,39
20,19,5,9,16,100
14,13,9,8,16,85
18,10,12,8,2,86
13,14,9,4,9,23
4,16,2,6,3,53
15,5,3,11,3,18
20,18,2,5,5,89
5,9,10,1,19,91
16,6,16,1,7,85
4,10,12,7,20,34
1,1,10,8,19,64
7,15,1,5,20,17
18,1,18,3,1,96
5,18,13,6,15,19
10,15,20,8,17,80
11,14,12,6,2,70
24,10,17,12,20,96
10,17,8,2,4,60
19,14,17,7,11,91
7,12,6,2,4,14
13,1,7,4,8,100
11,7,10,12,10,69
19,1,17,6,18,41
15,13,6,13,9,88
5,16,19,7,14,82
12,11,14,4,19,42
25,1,20,11,7,29
14,12,1,11,12,30
18,3,3,10,2,51
7,12,18,7,18,31
25,10,13,8,20,32
9,1,4,3,12,91
3,2,14,4,9,66
15,16,20,7,12,42
15,3,5,9,16,62
10,10,3,9,18,54
7,18,7,1,18,18
13,17,19,6,17,8
18,7,15,8,18,7
21,12,1,10,16,57
13,2,6,6,20,15
1,14,13,7,19,10
21,6,6,5,6,23
4,4,1,3,13,38
21,3,2,12,9,97
15,16,10,15,18,81
7,14,14,6,7,72
7,18,9,7,19,35
16,7,10,8,1,14
6,14,8,7,15,36
20,16,11,6,2,81
16,3,14,2,8,52
18,14,1,14,18,39
8,15,17,4,13,70
9,20,3,11,16,89
8,12,4,10,17,85
10,2,20,5,13,59
2,8,13,14,11,82
3,20,8,6,10,100
20,13,19,9,15,46
22,4,17,7,3,65
14,3,7,15,19,71
23,7,10,2,16,60
3,3,11,3,10,60
14,15,4,5,13,70
10,12,13,14,5,96
13,3,10,11,4,48
19,12,15,13,3,22
10,8,4,15,12,65
22,15,19,12,9,84
22,9,7,9,9,11
9,13,6,10,4,9
20,17,12,14,11,67
5,5,6,15,2,17
24,18,11,15,9,20
5,2,20,11,16,60
13,16,12,10,6,95
14,15,3,2,10,14
8,6,18,13,17,11
9,12,8,12,18,89
16,7,10,2,14,77
16,12,13,12,6,70
4,1,16,11,8,5
11,12,2,1,10,50
16,15,1,11,11,99
4,18,17,5,16,31
7,13,14,14,2,71
13,5,4,15,2,63
14,13,14,12,5,55
11,15,2,11,5,32
11,15,2,10,15,49
20,3,2,10,11,63
15,20,19,3,4,40
10,4,4,11,5,68
15,7,15,6,9,51
20,2,6,8,11,12
6,2,14,9,6,36
21,20,15,6,10,90
16,1,5,11,18,21
1,18,7,5,10,95
17,6,16,12,3,98
20,1,19,13,19,24
18,12,16,4,2,25
5,4,17,1,2,35
1,7,4,14,18,73
24,19,11,11,6,73
24,7,5,7,10,56
13,19,7,8,15,40
14,11,16,15,12,17
11,4,3,14,3,92
9,16,10,14,8,47
3,18,14,5,7,35
20,19,5,3,6,59
7,9,2,14,20,45
25,6,8,14,6,90
25,19,17,10,14,17
11,14,14,11,18,80
20,17,18,15,14,95
20,2,3,8,6,75
2,17,20,5,11,37
21,15,8,5,1,81
16,14,14,9,19,3
1,19,19,15,15,44
15,9,6,12,17,3
23,20,19,9,11,81
11,12,8,8,1,8
25,18,1,11,16,12
13,18,2,9,18,76
22,12,16,4,20,24
8,15,4,2,8,14
12,18,17,14,7,29
9,9,6,11,4,94
12,13,11,10,1,100
15,5,3,13,13,55
13,16,9,8,9,76
9,2,6,10,3,64
9,11,12,14,3,55
2,15,20,15,19,40
14,11,4,9,10,29
23,12,16,8,2,44
3,5,17,15,16,19
4,16,1,2,2,64
4,20,10,8,9,100
2,10,2,3,13,71
3,2,15,13,19,28
18,3,4,9,13,99
20,18,15,12,14,56
25,17,7,1,19,96
1,13,17,14,2,1
17,19,2,13,11,20
10,18,2,8,13,66
8,19,3,12,6,9
24,7,5,3,18,16
3,20,20,6,15,41
6,1,19,2,13,89
23,4,18,11,18,22
12,11,13,6,9,58
9,15,16,11,7,85
8,6,4,2,1,11
2,16,11,15,4,96
20,11,11,4,11,69
12,9,19,9,10,59
16,18,13,14,15,99
23,7,16,14,10,36
9,1,3,11,2,66
18,3,16,14,1,39
4,13,7,12,8,56
17,1,6,15,9,12
5,1,11,11,9,60
8,7,1,11,20,54
11,7,17,14,5,57
19,3,1,15,11,9
23,18,9,10,9,17
11,10,9,6,7,58
3,20,16,8,7,35
23,7,2,4,7,78
18,5,1,3,2,43
18,14,12,3,3,32
6,15,2,10,18,60
4,20,19,4,14,97
24,1,4,12,5,82
4,17,7,1,1,48
6,14,13,4,18,27
11,19,1,14,8,18
18,18,9,14,11,2
20,11,15,15,4,59
2,15,7,5,5,67
9,2,12,1,11,10
22,11,8,4,4,47
19,8,4,12,11,26
11,11,9,5,17,72
10,13,6,11,19,43
22,12,4,6,9,14
15,20,16,14,16,71
7,9,19,7,2,21
14,17,11,2,18,80
9,17,12,9,2,71
1,6,14,7,1,63
7,17,14,8,12,69
5,13,9,8,1,71
9,14,19,1,8,77
15,1,13,14,11,55
21,4,12,6,20,92
3,1,20,9,10,51
2,10,3,8,19,95
3,9,20,1,2,67
2,13,7,7,16,30
21,13,13,4,4,72
10,8,4,14,6,6
14,5,7,3,12,45
14,9,6,3,16,7
5,8,19,1,4,87
25,6,11,9,19,26
17,15,14,1,10,71
8,15,15,9,14,86
10,7,6,5,19,42
13,18,1,4,16,96
12,2,13,9,1,3
25,2,9,13,19,38
13,1,4,15,1,37
2,6,3,3,7,41
21,7,11,11,17,66
3,13,7,2,11,7
9,7,9,4,16,27
11,16,20,14,10,80
2,1,17,4,18,76
1,20,2,1,2,30
23,19,2,5,12,4
8,15,3,11,18,98
15,10,13,4,5,2
5,16,15,4,1,52
19,19,4,7,6,5
1,19,16,4,18,27
24,15,2,11,13,71
14,9,13,11,4,29
10,18,17,4,1,37
2,11,7,5,2,93
20,14,11,15,7,100
23,16,6,14,6,58
7,6,18,6,19,61
4,13,11,5,1,43
9,4,14,10,11,27
12,2,1,4,16,27
8,8,14,4,14,12
3,2,17,1,2,95
13,2,19,8,7,31
13,12,15,8,11,85
14,15,6,6,8,93
23,1,12,3,11,77
9,18,10,3,15,63
17,13,5,11,12,3
11,14,6,12,1,28
23,7,2,3,12,82
7,16,14,6,14,4
2,14,13,9,11,28
11,15,20,12,5,71
1,17,17,1,16,49
9,18,7,2,18,39
3,1,6,13,16,19
16,20,5,9,13,15
23,20,9,2,12,25
9,9,14,7,20,81
3,18,18,4,1,55
14,14,16,5,11,63
15,4,2,14,9,26
1,1,6,6,4,9
8,9,17,8,3,48
23,5,17,5,5,58
2,4,3,9,20,33
11,14,8,5,5,28
20,2,20,2,7,75
12,9,4,14,16,58
21,15,14,13,20,98
22,3,13,4,1,12
8,13,18,1,19,62
18,11,3,5,7,81
14,16,2,4,9,89
11,1,4,14,10,55
14,8,17,11,16,69
8,9,1,5,9,52
3,8,2,7,7,100
2,13,15,10,1,75
19,7,8,12,17,9
21,5,17,14,18,72
2,10,20,9,11,40
15,5,20,6,1,78
1,9,10,15,19,11
2,9,9,9,10,85
7,17,2,8,20,99
20,11,20,6,14,42
23,9,6,7,16,78
16,3,18,11,5,48
8,1,16,8,4,77
22,15,5,5,15,24
3,6,6,4,8,72
20,10,12,7,3,87
11,14,10,1,6,34
10,20,14,1,2,9
4,20,15,4,20,69
14,9,6,5,18,54
1,19,3,2,18,26
3,5,11,14,10,16
24,15,15,7,7,8
17,7,7,7,20,38
25,9,7,8,15,36
1,20,6,3,16,63
10,10,8,10,6,9
12,14,15,3,8,13
25,9,20,4,17,91
21,14,11,2,16,65
2,11,4,15,20,11
12,7,13,1,3,50
15,15,3,11,4,82
14,9,11,15,12,87
25,12,20,11,11,27
17,4,17,6,3,97
8,17,15,2,17,97
6,18,11,14,14,35
10,14,15,12,13,78
6,14,1,7,6,11
4,3,15,12,15,69
10,17,5,14,16,82
6,11,11,13,1,36
22,13,9,3,6,53
15,6,19,3,10,84
13,20,6,14,6,20
25,1,9,9,9,4
17,6,14,3,14,35
23,7,19,4,15,64
16,11,10,14,8,51
20,8,10,10,1,35
5,7,7,3,6,88
16,17,13,6,11,46
5,1,5,15,19,79
24,1,1,15,2,61
5,6,8,4,15,100
13,16,7,5,5,4
9,5,20,1,11,63
4,2,3,8,12,21
3,17,1,5,11,14
20,15,19,12,8,14
24,7,1,5,13,26
23,6,10,14,12,52
11,7,6,10,6,49
5,3,5,13,4,55
6,14,1,2,2,28
5,10,6,12,16,79
7,13,4,14,14,47
25,16,5,2,1,30
22,17,4,3,6,28
4,17,1,9,18,74
23,4,4,9,2,59
7,14,4,12,7,37
14,3,12,3,17,24
10,18,1,8,16,26
12,11,14,9,15,3
13,9,18,6,17,40
16,15,13,4,17,71
2,5,13,11,9,49
14,15,19,6,13,46
7,1,16,2,10,42
5,12,11,14,9,7
13,16,2,2,7,10
2,13,6,5,15,86
25,9,1,8,6,45
18,9,5,6,6,74
7,17,17,2,5,77
1,5,13,4,16,11
23,10,3,13,16,30
3,10,10,10,3,75
9,12,4,4,17,21
24,16,17,8,4,53
24,11,17,3,19,45
8,8,14,8,2,49
12,2,10,6,1,4
12,5,16,7,5,84
17,10,11,3,12,15
8,11,5,11,13,56
10,18,3,5,5,77
20,13,18,10,10,90
15,1,6,2,8,62
13,14,12,13,9,3
17,16,13,7,11,38
14,3,7,3,19,23
9,4,15,13,10,24
15,11,16,10,8,35
2,20,1,8,2,29
2,19,16,12,12,58
1,12,12,2,14,71
24,5,6,10,12,55
5,13,5,15,8,84
22,16,3,7,15,17
5,16,15,2,14,18
1,9,9,8,10,14
13,5,18,8,6,62
14,10,14,15,2,1
6,8,8,8,14,62
19,20,10,5,13,63
14,3,4,14,5,5
3,9,10,5,18,27
1,13,17,5,13,50
2,20,9,12,17,54
25,3,13,1,14,37
9,3,19,9,11,4
23,5,4,14,5,2
1,17,14,9,3,58
10,2,17,3,20,26
1,19,20,10,20,33
11,15,15,4,13,78
14,15,2,10,11,58
16,1,7,6,11,9
21,10,2,9,17,81
24,9,12,13,13,11
1,5,17,2,3,49
